name,edition,proddate,idno,cntry,c2weight,mode,w4q1,w4q2,w4q3,w4q4,w4q5,w4q6,w4q7,w4q8,w4q9,w4q10,w4q11,w4q12,w4q13,w4q14,w4q15,w4q16,w4q17,w4q18,w4q19,w4q20,w4q21,w4q22,w4q23,w4q24,w4q25,w4q26,w4q27,w4q28,w4q29,w4q30,w4q31,w4q32,w4q33,w4q34,w4q35,w4q36,w4q37,w4q38,w4q39,w4q40,w4q41,w4q42,w4q43,w4q44,w4q45,w4q46,w4q47,w4q48,w4q49,w4q50,w4q51,w4q52,w4q53,w4q54,w4q55,w4q56,w4q57,w4q57_0,w4q58,w4q59,w4q60,w4q61,w4q62,w4q63,w4q64,w4q65,w4q66,w4q67,w4q68,w4q69,w4q70,w4q71,w4q72,w4q73,survlng,inwds,inwde,w4ininwe,w4sdinwe,w4fdinwe,w4poinwe,w4teinwe,w4mhinwe,w4itinwe,w4htinwe,w4indur,w4sddur,w4fddur,w4podur,w4tedur,w4mhdur,w4intsdur,w4htdur,intdur,lastansw,surveycomp,fdwrkinc,uagent,device,familydiversity4_do_t2,familydiversity2_do_w4q18,familydiversity2_do_w4q19,familydiversity3_do_w4q20,familydiversity3_do_w4q21,familydiversity3_do_w4q22,familydiversity4_do_w4q23,familydiversity4_do_w4q24,familydiversity5_do_w4q25,familydiversity5_do_w4q26,familydiversity6_do_w4q27,familydiversity6_do_w4q28,institutionaltrustworthiness2_do_w4q66,institutionaltrustworthiness2_do_w4q67,institutionaltrustworthiness2_do_w4q68,institutionaltrustworthiness2_do_w4q69,institutionaltrustworthiness2_do_w4q70,institutionaltrustworthiness2_do_w4q71,institutionaltrustworthiness2_do_w4q72,institutionaltrustworthiness2_do_w4q73,gndr,agea,eduyrs,eisced,netusoft,mnactic,hincfel,hinctnta,region,gndr_lab,mode_lab,age_group,trust_index
CRON2W4e01,1,28.03.2024,10167,AT,2.3594236,3,4,4,3,3,4,5,4,4,5,4,5,5,5,5,4,2,2,2,2,2,2,1,2,2,2,2,4,4,1,1,66,2,NA,3,2,2,2,3,2,4,3,4,8,8,NA,6,1,1,2,3,1,3,1,1,1,1,2,1,1,1,1,NA,NA,8,1,2,6,7,10,10,8,NA,NA,NA,GER,2022-10-13T09:02:44Z,2022-10-13T09:23:50Z,2022-10-13T09:02:55Z,2022-10-13T09:05:09Z,2022-10-13T09:11:28Z,2022-10-13T09:14:27Z,2022-10-13T09:16:07Z,2022-10-13T09:18:44Z,2022-10-13T09:23:35Z,2022-10-13T09:23:50Z,11,134,379,179,100,157,291,15,1266,w4q73,100,1,NodeJS,4,1,2,1,1,2,3,3,2,1,2,2,1,7,6,1,2,3,8,5,4,1,73,11,3,5,6,1,10,AT32,Hombre,CAWI (online),65+,6.5
CRON2W4e01,1,28.03.2024,10190,AT,0.64719534,3,4,4,3,4,4,4,2,4,4,3,3,4,4,4,4,3,3,NA,3,3,3,3,1,1,2,2,NA,NA,3,2,1,4,5,4,3,4,4,2,NA,3,3,4,5,5,2,7,2,4,3,2,1,2,1,2,3,2,4,3,2,3,1,7,6,6,7,5,7,5,5,5,6,6,5,5,GER,2022-10-12T13:52:42Z,2022-10-12T14:03:57Z,2022-10-12T13:52:44Z,2022-10-12T13:54:33Z,2022-10-12T13:57:18Z,2022-10-12T13:58:49Z,2022-10-12T13:59:59Z,2022-10-12T14:01:40Z,2022-10-12T14:03:49Z,2022-10-12T14:03:57Z,2,109,165,91,70,101,129,8,675,w4q73,94.520546,1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0,2,1,2,1,1,2,3,3,2,2,1,1,2,6,4,8,1,3,5,7,2,2,41,13,6,5,1,2,77,AT22,Mujer,CAWI (online),30–44,5.769230769230769
CRON2W4e01,1,28.03.2024,10202,AT,0.43431893,3,4,5,4,3,5,5,4,2,4,5,5,3,2,3,3,2,2,2,2,1,1,3,2,2,2,2,3,3,3,1,66,1,3,5,5,4,5,4,4,3,3,5,6,7,10,4,1,2,1,3,2,3,1,1,1,1,2,2,1,2,1,NA,NA,NA,1,1,6,3,5,NA,7,2,8,NA,GER,2022-10-20T19:44:09Z,2022-10-20T19:52:52Z,2022-10-20T19:45:09Z,2022-10-20T19:46:08Z,2022-10-20T19:48:29Z,2022-10-20T19:49:21Z,2022-10-20T19:50:23Z,2022-10-20T19:51:16Z,2022-10-20T19:52:50Z,2022-10-20T19:52:52Z,60,59,141,52,62,53,94,2,523,w4q73,100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/106.0.1370.47",2,1,1,2,2,1,3,2,3,2,1,1,2,3,4,8,7,2,1,6,5,1,35,14,5,5,1,1,3,AT22,Hombre,CAWI (online),30–44,4.125
CRON2W4e01,1,28.03.2024,10237,AT,3.221599,4,3,3,3,3,4,4,2,4,4,4,2,4,4,4,4,2,2,3,3,1,1,3,2,2,2,2,4,4,1,2,1,5,2,1,5,5,5,1,5,3,4,4,5,1,4,6,2,1,2,3,1,4,1,1,2,2,2,2,1,2,1,2,2,2,8,6,6,1,8,8,3,3,2,4,GER,2022-11-01T17:47:31Z,2022-11-01T18:15:50Z,2022-11-01T17:48:21Z,2022-11-01T17:51:16Z,2022-11-01T17:58:57Z,2022-11-01T18:01:01Z,2022-11-01T18:03:29Z,2022-11-01T18:08:53Z,2022-11-01T18:15:29Z,2022-11-01T18:15:50Z,50,175,461,124,148,324,396,21,1699,w4q73,100,1,NodeJS,4,1,1,2,2,1,3,3,2,2,1,2,1,8,5,7,3,6,4,1,2,1,55,12,3,4,1,1,77,AT34,Hombre,Otro,45–64,4.230769230769231
CRON2W4e01,1,28.03.2024,10238,AT,3.5392592,3,4,5,3,4,5,5,5,5,5,4,1,5,5,5,5,3,3,2,3,3,3,3,1,2,1,1,2,4,1,1,66,4,5,4,4,5,5,3,4,3,3,5,5,5,3,5,1,2,2,3,1,3,1,1,2,2,2,2,1,2,1,7,7,7,7,7,5,5,8,8,5,5,7,7,GER,2022-10-15T15:53:33Z,2022-10-15T16:13:20Z,2022-10-15T15:54:11Z,2022-10-15T15:56:56Z,2022-10-15T16:01:46Z,2022-10-15T16:03:55Z,2022-10-15T16:06:30Z,2022-10-15T16:09:07Z,2022-10-15T16:12:59Z,2022-10-15T16:13:20Z,38,165,290,129,155,157,232,21,1187,w4q73,100,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 Edg/106.0.1370.37",2,1,1,2,1,2,3,3,2,1,2,2,1,6,5,2,7,3,8,4,1,2,65,12,2,5,6,1,7,AT12,Mujer,CAWI (online),65+,6.538461538461538
CRON2W4e01,1,28.03.2024,10296,AT,0.4109379,3,4,4,2,3,4,4,2,4,4,3,2,4,4,4,4,2,2,3,3,3,3,1,1,1,1,1,4,4,1,2,1,5,3,4,4,4,4,2,4,3,3,4,2,3,2,5,3,3,2,2,4,2,3,4,3,3,4,4,3,3,1,5,7,4,5,5,3,5,5,5,4,5,5,7,GER,2022-10-20T12:09:41Z,2022-10-20T12:26:09Z,2022-10-20T12:09:43Z,2022-10-20T12:11:12Z,2022-10-20T12:15:42Z,2022-10-20T12:17:23Z,2022-10-20T12:19:08Z,2022-10-20T12:21:48Z,2022-10-20T12:25:41Z,2022-10-20T12:26:09Z,2,89,270,101,105,160,233,28,988,w4q73,100,1,"Mozilla/5.0 (Linux; Android 11; SM-G998B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",1,1,2,1,2,1,3,3,2,1,2,1,2,4,6,8,3,2,1,5,7,2,27,21,6,5,8,2,77,AT31,Mujer,CAWI (online),18–29,5
CRON2W4e01,1,28.03.2024,10368,AT,0.15726998,4,5,3,1,4,5,5,3,5,5,5,3,3,4,5,4,2,2,2,2,2,2,3,1,2,1,1,2,2,2,2,1,4,7,5,3,4,3,2,5,3,4,5,1,2,2,4,2,2,1,2,1,2,2,2,2,2,3,3,2,2,2,5,7,5,8,7,5,5,7,4,7,8,3,8,GER,2022-10-23T10:38:51Z,2022-10-23T10:45:21Z,2022-10-23T10:38:55Z,2022-10-23T10:39:37Z,2022-10-23T10:41:19Z,2022-10-23T10:42:16Z,2022-10-23T10:43:00Z,2022-10-23T10:44:00Z,2022-10-23T10:45:18Z,2022-10-23T10:45:21Z,4,42,102,57,44,60,78,3,390,w4q73,100,1,"Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-G991B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/18.0 Chrome/99.0.4844.88 Mobile Safari/537.36",1,1,1,2,2,1,3,3,2,2,1,1,2,1,2,4,3,7,6,8,5,2,35,20,7,5,1,2,6,AT31,Mujer,Otro,30–44,6.076923076923077
CRON2W4e01,1,28.03.2024,10370,AT,1.3033638,3,3,3,1,2,4,5,3,4,5,3,3,4,5,4,2,3,3,3,3,3,3,3,1,1,1,1,3,3,3,1,66,4,2,4,3,4,4,3,4,3,2,3,2,2,6,8,3,4,4,2,2,3,2,1,3,2,3,4,1,1,1,3,5,6,8,6,1,7,8,10,5,7,6,6,GER,2022-10-13T14:50:59Z,2022-10-13T15:04:00Z,2022-10-13T14:51:04Z,2022-10-13T14:52:52Z,2022-10-13T14:56:01Z,2022-10-13T14:57:48Z,2022-10-13T14:59:18Z,2022-10-13T15:00:59Z,2022-10-13T15:03:45Z,2022-10-13T15:04:00Z,5,108,189,107,90,101,166,15,781,w4q73,100,1,"Mozilla/5.0 (Linux; Android 8.0.0; RNE-L21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Mobile Safari/537.36 (Ecosia android@101.0.4951.41)",1,1,2,1,2,1,3,2,3,1,2,1,2,5,1,2,4,7,8,6,3,2,20,14,4,5,2,3,8,AT12,Mujer,CAWI (online),18–29,6
CRON2W4e01,1,28.03.2024,10443,AT,0.3790756,3,3,2,4,3,3,4,2,4,4,2,2,4,4,4,4,3,3,4,4,2,2,3,2,2,2,NA,3,2,3,1,66,2,5,1,3,3,3,4,3,2,4,4,2,5,2,7,1,1,2,3,4,2,NA,4,1,1,1,2,1,1,1,6,8,7,3,1,6,4,8,8,4,5,5,6,GER,2022-10-19T17:58:50Z,2022-10-19T18:14:32Z,2022-10-19T17:59:03Z,2022-10-19T18:01:31Z,2022-10-19T18:05:00Z,2022-10-19T18:07:03Z,2022-10-19T18:08:28Z,2022-10-19T18:10:42Z,2022-10-19T18:14:10Z,2022-10-19T18:14:32Z,13,148,209,123,85,134,208,22,942,w4q73,97.26028,1,Mozilla/5.0 (Android 10; Mobile; rv:105.0) Gecko/105.0 Firefox/105.0,1,1,1,2,1,2,3,3,2,1,2,2,1,8,2,7,1,4,5,6,3,1,68,25,7,5,6,1,8,AT12,Hombre,CAWI (online),65+,5.461538461538462
CRON2W4e01,1,28.03.2024,10455,AT,0.36314145,3,3,4,3,2,4,4,2,3,3,3,3,3,3,4,3,2,2,4,3,2,2,3,2,2,2,2,3,3,3,1,66,4,4,4,3,4,3,2,3,3,2,2,5,4,6,5,1,2,2,3,1,3,1,3,1,1,1,2,1,2,1,6,6,4,4,4,6,5,8,7,4,5,7,7,GER,2022-10-13T07:25:08Z,2022-10-13T14:03:38Z,2022-10-13T13:53:32Z,2022-10-13T13:55:08Z,2022-10-13T13:57:52Z,2022-10-13T13:58:59Z,2022-10-13T13:59:57Z,2022-10-13T14:01:25Z,2022-10-13T14:03:35Z,2022-10-13T14:03:38Z,23304,96,164,67,58,88,130,3,23910,w4q73,100,1,"Mozilla/5.0 (Linux; Android 11; SM-A405FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",1,1,2,1,2,1,3,3,2,1,2,1,2,8,3,1,2,4,7,6,5,1,51,14,5,4,1,1,7,AT21,Hombre,CAWI (online),45–64,5.615384615384615
